Daily Details for US Cases, Mortaility and Rates
Day: 418 (3/14/21) Cases/today/Infection Rate: 29,540,524/39,274/0.13% - Mortality/Today/Rate: 531,687/515/1.80% 
Day: 419 (3/15/21) Cases/today/Infection Rate: 29,591,556/51,032/0.17% - Mortality/Today/Rate: 532,390/703/1.80% 
Day: 420 (3/16/21) Cases/today/Infection Rate: 29,645,623/54,067/0.18% - Mortality/Today/Rate: 533,647/1,257/1.80% 
Day: 421 (3/17/21) Cases/today/Infection Rate: 29,704,897/59,274/0.20% - Mortality/Today/Rate: 534,840/1,193/1.80% 
Day: 422 (3/18/21) Cases/today/Infection Rate: 29,767,287/62,390/0.21% - Mortality/Today/Rate: 536,475/1,635/1.80% 
Day: 423 (3/19/21) Cases/today/Infection Rate: 29,828,919/61,632/0.21% - Mortality/Today/Rate: 537,501/1,026/1.80% 
Day: 424 (3/20/21) Cases/today/Infection Rate: 29,887,786/58,867/0.20% - Mortality/Today/Rate: 538,273/772/1.80% 
Day: 425 (3/21/21) Cases/today/Infection Rate: 29,923,164/35,378/0.12% - Mortality/Today/Rate: 538,983/710/1.80% 
Day: 426 (3/22/21) Cases/today/Infection Rate: 29,970,588/47,424/0.16% - Mortality/Today/Rate: 539,532/549/1.80% 
Day: 427 (3/23/21) Cases/today/Infection Rate: 30,023,446/52,858/0.18% - Mortality/Today/Rate: 540,476/944/1.80% 
Day: 428 (3/24/21) Cases/today/Infection Rate: 30,111,204/87,758/0.29% - Mortality/Today/Rate: 541,937/1,461/1.80% 
Day: 429 (3/25/21) Cases/today/Infection Rate: 30,178,830/67,626/0.22% - Mortality/Today/Rate: 543,285/1,348/1.80% 
Day: 430 (3/26/21) Cases/today/Infection Rate: 30,255,200/76,370/0.25% - Mortality/Today/Rate: 544,440/1,155/1.80% 
Day: 431 (3/27/21) Cases/today/Infection Rate: 30,319,255/64,055/0.21% - Mortality/Today/Rate: 545,247/807/1.80% 
Day: 432 (3/28/21) Cases/today/Infection Rate: 30,365,575/46,320/0.15% - Mortality/Today/Rate: 545,688/441/1.80% 
Day: 433 (3/29/21) Cases/today/Infection Rate: 30,431,447/65,872/0.22% - Mortality/Today/Rate: 546,315/627/1.80% 
Day: 434 (3/30/21) Cases/today/Infection Rate: 30,493,136/61,689/0.20% - Mortality/Today/Rate: 547,209/894/1.79% 
Day: 435 (3/31/21) Cases/today/Infection Rate: 30,562,666/69,530/0.23% - Mortality/Today/Rate: 548,277/1,068/1.79% 
Day: 436 (4/1/21) Cases/today/Infection Rate: 30,639,522/76,856/0.25% - Mortality/Today/Rate: 549,381/1,104/1.79% 
Day: 437 (4/2/21) Cases/today/Infection Rate: 30,713,545/74,023/0.24% - Mortality/Today/Rate: 550,266/885/1.79% 
Day: 438 (4/3/21) Cases/today/Infection Rate: 30,778,425/64,880/0.21% - Mortality/Today/Rate: 551,020/754/1.79% 
Day: 439 (4/4/21) Cases/today/Infection Rate: 30,816,348/37,923/0.12% - Mortality/Today/Rate: 551,330/310/1.79% 
Day: 440 (4/5/21) Cases/today/Infection Rate: 30,883,435/67,087/0.22% - Mortality/Today/Rate: 551,789/459/1.79% 
Day: 441 (4/6/21) Cases/today/Infection Rate: 30,946,261/62,826/0.20% - Mortality/Today/Rate: 552,617/828/1.79% 
Day: 442 (4/7/21) Cases/today/Infection Rate: 31,022,037/75,776/0.24% - Mortality/Today/Rate: 555,219/2,602/1.79% 
Day: 443 (4/8/21) Cases/today/Infection Rate: 31,102,103/80,066/0.26% - Mortality/Today/Rate: 556,227/1,008/1.79% 
Day: 444 (4/9/21) Cases/today/Infection Rate: 31,186,856/84,753/0.27% - Mortality/Today/Rate: 557,135/908/1.79% 
Day: 445 (4/10/21) Cases/today/Infection Rate: 31,257,391/70,535/0.23% - Mortality/Today/Rate: 557,891/756/1.78% 
Day: 446 (4/11/21) Cases/today/Infection Rate: 31,304,847/47,456/0.15% - Mortality/Today/Rate: 558,180/289/1.78% 
Day: 447 (4/12/21) Cases/today/Infection Rate: 31,367,030/62,183/0.20% - Mortality/Today/Rate: 558,624/444/1.78% 
Day: 448 (4/13/21) Cases/today/Infection Rate: 31,447,869/80,839/0.26% - Mortality/Today/Rate: 559,489/865/1.78% 
Day: 449 (4/14/21) Cases/today/Infection Rate: 31,523,473/75,604/0.24% - Mortality/Today/Rate: 560,418/929/1.78% 
Day: 450 (4/15/21) Cases/today/Infection Rate: 31,597,455/73,982/0.23% - Mortality/Today/Rate: 561,326/908/1.78% 
Day: 451 (4/16/21) Cases/today/Infection Rate: 31,680,927/83,472/0.26% - Mortality/Today/Rate: 562,191/865/1.77% 
Day: 452 (4/17/21) Cases/today/Infection Rate: 31,736,414/55,487/0.18% - Mortality/Today/Rate: 562,896/705/1.77% 
Day: 453 (4/18/21) Cases/today/Infection Rate: 31,780,240/43,826/0.14% - Mortality/Today/Rate: 563,247/351/1.77% 
Day: 454 (4/19/21) Cases/today/Infection Rate: 31,838,786/58,546/0.18% - Mortality/Today/Rate: 563,734/487/1.77% 
Day: 455 (4/20/21) Cases/today/Infection Rate: 31,901,226/62,440/0.20% - Mortality/Today/Rate: 564,576/842/1.77% 
Day: 456 (4/21/21) Cases/today/Infection Rate: 31,965,572/64,346/0.20% - Mortality/Today/Rate: 565,460/884/1.77% 
Day: 457 (4/22/21) Cases/today/Infection Rate: 32,032,291/66,719/0.21% - Mortality/Today/Rate: 566,397/937/1.77% 
Day: 458 (4/23/21) Cases/today/Infection Rate: 32,095,186/62,895/0.20% - Mortality/Today/Rate: 567,149/752/1.77% 
Day: 459 (4/24/21) Cases/today/Infection Rate: 32,150,157/54,971/0.17% - Mortality/Today/Rate: 567,909/760/1.77% 
Day: 460 (4/25/21) Cases/today/Infection Rate: 32,184,925/34,768/0.11% - Mortality/Today/Rate: 568,212/303/1.77% 
Day: 461 (4/26/21) Cases/today/Infection Rate: 32,227,212/42,287/0.13% - Mortality/Today/Rate: 568,687/475/1.76% 
Day: 462 (4/27/21) Cases/today/Infection Rate: 32,279,493/52,281/0.16% - Mortality/Today/Rate: 569,357/670/1.76% 
Day: 463 (4/28/21) Cases/today/Infection Rate: 32,334,679/55,186/0.17% - Mortality/Today/Rate: 570,336/979/1.76% 
Day: 464 (4/29/21) Cases/today/Infection Rate: 32,393,505/58,826/0.18% - Mortality/Today/Rate: 571,221/885/1.76% 
Day: 465 (4/30/21) Cases/today/Infection Rate: 32,451,607/58,102/0.18% - Mortality/Today/Rate: 572,025/804/1.76% 
Day: 466 (5/1/21) Cases/today/Infection Rate: 32,500,383/48,776/0.15% - Mortality/Today/Rate: 572,772/747/1.76% 
Day: 467 (5/2/21) Cases/today/Infection Rate: 32,530,939/30,556/0.09% - Mortality/Today/Rate: 573,094/322/1.76% 
Day: 468 (5/3/21) Cases/today/Infection Rate: 32,575,561/44,622/0.14% - Mortality/Today/Rate: 573,570/476/1.76% 
Day: 469 (5/4/21) Cases/today/Infection Rate: 32,618,456/42,895/0.13% - Mortality/Today/Rate: 574,450/880/1.76% 
Day: 470 (5/5/21) Cases/today/Infection Rate: 32,664,499/46,043/0.14% - Mortality/Today/Rate: 575,266/816/1.76% 
Day: 471 (5/6/21) Cases/today/Infection Rate: 32,710,678/46,179/0.14% - Mortality/Today/Rate: 576,063/797/1.76% 
Day: 472 (5/7/21) Cases/today/Infection Rate: 32,759,093/48,415/0.15% - Mortality/Today/Rate: 576,820/757/1.76% 
Day: 473 (5/8/21) Cases/today/Infection Rate: 32,794,747/35,654/0.11% - Mortality/Today/Rate: 577,454/634/1.76% 
Day: 474 (5/9/21) Cases/today/Infection Rate: 32,817,617/22,870/0.07% - Mortality/Today/Rate: 577,711/257/1.76% 
Day: 475 (5/10/21) Cases/today/Infection Rate: 32,849,993/32,376/0.10% - Mortality/Today/Rate: 578,100/389/1.76% 
Day: 476 (5/11/21) Cases/today/Infection Rate: 32,885,470/35,477/0.11% - Mortality/Today/Rate: 578,785/685/1.76% 
Day: 477 (5/12/21) Cases/today/Infection Rate: 32,921,621/36,151/0.11% - Mortality/Today/Rate: 579,572/787/1.76% 
Day: 478 (5/13/21) Cases/today/Infection Rate: 32,960,357/38,736/0.12% - Mortality/Today/Rate: 580,333/761/1.76% 
Day: 479 (5/14/21) Cases/today/Infection Rate: 33,002,574/42,217/0.13% - Mortality/Today/Rate: 580,960/627/1.76% 
Day: 480 (5/15/21) Cases/today/Infection Rate: 33,033,331/30,757/0.09% - Mortality/Today/Rate: 581,489/529/1.76% 
Day: 481 (5/16/21) Cases/today/Infection Rate: 33,051,023/17,692/0.05% - Mortality/Today/Rate: 581,759/270/1.76% 
Day: 482 (5/17/21) Cases/today/Infection Rate: 33,076,265/25,242/0.08% - Mortality/Today/Rate: 582,152/393/1.76% 
Day: 483 (5/18/21) Cases/today/Infection Rate: 33,105,180/28,915/0.09% - Mortality/Today/Rate: 582,929/777/1.76% 
Day: 484 (5/19/21) Cases/today/Infection Rate: 33,134,784/29,604/0.09% - Mortality/Today/Rate: 583,595/666/1.76% 
Day: 485 (5/20/21) Cases/today/Infection Rate: 33,164,999/30,215/0.09% - Mortality/Today/Rate: 584,278/683/1.76% 
Day: 486 (5/21/21) Cases/today/Infection Rate: 33,193,824/28,825/0.09% - Mortality/Today/Rate: 584,896/618/1.76% 
Day: 487 (5/22/21) Cases/today/Infection Rate: 33,215,037/21,213/0.06% - Mortality/Today/Rate: 585,384/488/1.76% 
Day: 488 (5/23/21) Cases/today/Infection Rate: 33,228,822/13,785/0.04% - Mortality/Today/Rate: 585,580/196/1.76% 
Day: 489 (5/24/21) Cases/today/Infection Rate: 33,250,693/21,871/0.07% - Mortality/Today/Rate: 586,014/434/1.76% 
Day: 490 (5/25/21) Cases/today/Infection Rate: 33,275,283/24,590/0.07% - Mortality/Today/Rate: 586,663/649/1.76% 
Day: 491 (5/26/21) Cases/today/Infection Rate: 33,299,879/24,596/0.07% - Mortality/Today/Rate: 587,655/992/1.76% 
Day: 492 (5/27/21) Cases/today/Infection Rate: 33,326,720/26,841/0.08% - Mortality/Today/Rate: 589,011/1,356/1.77% 
Day: 493 (5/28/21) Cases/today/Infection Rate: 33,348,962/22,242/0.07% - Mortality/Today/Rate: 589,542/531/1.77% 
Day: 494 (5/29/21) Cases/today/Infection Rate: 33,362,273/13,311/0.04% - Mortality/Today/Rate: 589,886/344/1.77% 
Day: 495 (5/30/21) Cases/today/Infection Rate: 33,369,627/7,354/0.02% - Mortality/Today/Rate: 590,036/150/1.77% 
Day: 496 (5/31/21) Cases/today/Infection Rate: 33,375,901/6,274/0.02% - Mortality/Today/Rate: 590,208/172/1.77% 
Day: 497 (6/1/21) Cases/today/Infection Rate: 33,396,754/20,853/0.06% - Mortality/Today/Rate: 590,840/632/1.77% 
Day: 498 (6/2/21) Cases/today/Infection Rate: 33,413,466/16,712/0.05% - Mortality/Today/Rate: 591,402/562/1.77% 
Day: 499 (6/3/21) Cases/today/Infection Rate: 33,431,862/18,396/0.06% - Mortality/Today/Rate: 592,037/635/1.77% 
Day: 500 (6/4/21) Cases/today/Infection Rate: 33,449,727/17,865/0.05% - Mortality/Today/Rate: 592,558/521/1.77% 
Day: 501 (6/5/21) Cases/today/Infection Rate: 33,465,331/15,604/0.05% - Mortality/Today/Rate: 593,142/584/1.77% 
Day: 502 (6/6/21) Cases/today/Infection Rate: 33,471,347/6,016/0.02% - Mortality/Today/Rate: 593,307/165/1.77% 
Day: 503 (6/7/21) Cases/today/Infection Rate: 33,485,417/14,070/0.04% - Mortality/Today/Rate: 593,623/316/1.77% 
Day: 504 (6/8/21) Cases/today/Infection Rate: 33,498,457/13,040/0.04% - Mortality/Today/Rate: 593,942/319/1.77% 
Day: 505 (6/9/21) Cases/today/Infection Rate: 33,517,022/18,565/0.06% - Mortality/Today/Rate: 594,426/484/1.77% 
Day: 506 (6/10/21) Cases/today/Infection Rate: 33,531,803/14,781/0.04% - Mortality/Today/Rate: 594,840/414/1.77% 
Day: 507 (6/11/21) Cases/today/Infection Rate: 33,556,954/25,151/0.08% - Mortality/Today/Rate: 595,373/533/1.77% 
Day: 508 (6/12/21) Cases/today/Infection Rate: 33,566,114/9,160/0.03% - Mortality/Today/Rate: 595,649/276/1.77% 
Day: 509 (6/13/21) Cases/today/Infection Rate: 33,571,384/5,270/0.02% - Mortality/Today/Rate: 595,756/107/1.77% 
Day: 510 (6/14/21) Cases/today/Infection Rate: 33,583,170/11,786/0.04% - Mortality/Today/Rate: 595,940/184/1.77% 
Day: 511 (6/15/21) Cases/today/Infection Rate: 33,593,900/10,730/0.03% - Mortality/Today/Rate: 596,268/328/1.77% 
Day: 512 (6/16/21) Cases/today/Infection Rate: 33,605,808/11,908/0.04% - Mortality/Today/Rate: 596,649/381/1.78% 
Day: 513 (6/17/21) Cases/today/Infection Rate: 33,617,571/11,763/0.04% - Mortality/Today/Rate: 596,945/296/1.78% 
Day: 514 (6/18/21) Cases/today/Infection Rate: 33,638,753/21,182/0.06% - Mortality/Today/Rate: 597,551/606/1.78% 
Day: 515 (6/19/21) Cases/today/Infection Rate: 33,647,805/9,052/0.03% - Mortality/Today/Rate: 597,728/177/1.78% 
Day: 516 (6/20/21) Cases/today/Infection Rate: 33,652,762/4,957/0.01% - Mortality/Today/Rate: 597,803/75/1.78% 
Day: 517 (6/21/21) Cases/today/Infection Rate: 33,663,317/10,555/0.03% - Mortality/Today/Rate: 598,062/259/1.78% 
Day: 518 (6/22/21) Cases/today/Infection Rate: 33,674,113/10,796/0.03% - Mortality/Today/Rate: 598,408/346/1.78% 
Day: 519 (6/23/21) Cases/today/Infection Rate: 33,686,778/12,665/0.04% - Mortality/Today/Rate: 598,808/400/1.78% 
Day: 520 (6/24/21) Cases/today/Infection Rate: 33,701,254/14,476/0.04% - Mortality/Today/Rate: 599,150/342/1.78% 
Day: 521 (6/25/21) Cases/today/Infection Rate: 33,725,856/24,602/0.07% - Mortality/Today/Rate: 599,677/527/1.78% 
Day: 522 (6/26/21) Cases/today/Infection Rate: 33,735,225/9,369/0.03% - Mortality/Today/Rate: 599,834/157/1.78% 
Day: 523 (6/27/21) Cases/today/Infection Rate: 33,739,849/4,624/0.01% - Mortality/Today/Rate: 599,909/75/1.78% 
Day: 524 (6/28/21) Cases/today/Infection Rate: 33,753,432/13,583/0.04% - Mortality/Today/Rate: 600,055/146/1.78% 
Day: 525 (6/29/21) Cases/today/Infection Rate: 33,760,909/7,477/0.02% - Mortality/Today/Rate: 600,392/337/1.78% 
Day: 526 (6/30/21) Cases/today/Infection Rate: 33,776,261/15,352/0.05% - Mortality/Today/Rate: 600,695/303/1.78% 
Day: 527 (7/1/21) Cases/today/Infection Rate: 33,791,380/15,119/0.04% - Mortality/Today/Rate: 600,979/284/1.78% 
Day: 528 (7/2/21) Cases/today/Infection Rate: 33,821,137/29,757/0.09% - Mortality/Today/Rate: 601,415/436/1.78% 
Day: 529 (7/3/21) Cases/today/Infection Rate: 33,826,551/5,414/0.02% - Mortality/Today/Rate: 601,509/94/1.78% 
Day: 530 (7/4/21) Cases/today/Infection Rate: 33,830,835/4,284/0.01% - Mortality/Today/Rate: 601,550/41/1.78% 
Day: 531 (7/5/21) Cases/today/Infection Rate: 33,839,737/8,902/0.03% - Mortality/Today/Rate: 601,665/115/1.78% 
Day: 532 (7/6/21) Cases/today/Infection Rate: 33,862,019/22,282/0.07% - Mortality/Today/Rate: 601,966/301/1.78% 
Day: 533 (7/7/21) Cases/today/Infection Rate: 33,882,197/20,178/0.06% - Mortality/Today/Rate: 602,294/328/1.78% 
Day: 534 (7/8/21) Cases/today/Infection Rate: 33,903,062/20,865/0.06% - Mortality/Today/Rate: 602,540/246/1.78% 
Day: 535 (7/9/21) Cases/today/Infection Rate: 33,950,655/47,593/0.14% - Mortality/Today/Rate: 603,009/469/1.78% 
Day: 536 (7/10/21) Cases/today/Infection Rate: 33,960,774/10,119/0.03% - Mortality/Today/Rate: 603,096/87/1.78% 
Day: 537 (7/11/21) Cases/today/Infection Rate: 33,972,521/11,747/0.03% - Mortality/Today/Rate: 603,215/119/1.78% 
Day: 538 (7/12/21) Cases/today/Infection Rate: 34,001,943/29,422/0.09% - Mortality/Today/Rate: 603,444/229/1.77% 
Day: 539 (7/13/21) Cases/today/Infection Rate: 34,028,474/26,531/0.08% - Mortality/Today/Rate: 603,803/359/1.77% 
Day: 540 (7/14/21) Cases/today/Infection Rate: 34,059,599/31,125/0.09% - Mortality/Today/Rate: 604,131/328/1.77% 
Day: 541 (7/15/21) Cases/today/Infection Rate: 34,091,559/31,960/0.09% - Mortality/Today/Rate: 604,484/353/1.77% 
Day: 542 (7/16/21) Cases/today/Infection Rate: 34,169,668/78,109/0.23% - Mortality/Today/Rate: 604,938/454/1.77% 
Day: 543 (7/17/21) Cases/today/Infection Rate: 34,183,770/14,102/0.04% - Mortality/Today/Rate: 605,017/79/1.77% 
Day: 544 (7/18/21) Cases/today/Infection Rate: 34,204,099/20,329/0.06% - Mortality/Today/Rate: 605,104/87/1.77% 
Day: 545 (7/19/21) Cases/today/Infection Rate: 34,252,942/48,843/0.14% - Mortality/Today/Rate: 605,295/191/1.77% 
Day: 546 (7/20/21) Cases/today/Infection Rate: 34,292,668/39,726/0.12% - Mortality/Today/Rate: 605,584/289/1.77% 
Day: 547 (7/21/21) Cases/today/Infection Rate: 34,340,404/47,736/0.14% - Mortality/Today/Rate: 605,946/362/1.76% 
Day: 548 (7/22/21) Cases/today/Infection Rate: 34,396,928/56,524/0.16% - Mortality/Today/Rate: 606,231/285/1.76% 
Day: 549 (7/23/21) Cases/today/Infection Rate: 34,517,729/120,801/0.35% - Mortality/Today/Rate: 606,788/557/1.76% 
Day: 550 (7/24/21) Cases/today/Infection Rate: 34,546,473/28,744/0.08% - Mortality/Today/Rate: 606,919/131/1.76% 
Day: 551 (7/25/21) Cases/today/Infection Rate: 34,574,444/27,971/0.08% - Mortality/Today/Rate: 607,018/99/1.76% 
Day: 552 (7/26/21) Cases/today/Infection Rate: 34,653,817/79,373/0.23% - Mortality/Today/Rate: 607,276/258/1.75% 
Day: 553 (7/27/21) Cases/today/Infection Rate: 34,718,815/64,998/0.19% - Mortality/Today/Rate: 607,727/451/1.75% 
Day: 554 (7/28/21) Cases/today/Infection Rate: 34,792,391/73,576/0.21% - Mortality/Today/Rate: 608,100/373/1.75% 
Day: 555 (7/29/21) Cases/today/Infection Rate: 34,864,934/72,543/0.21% - Mortality/Today/Rate: 608,420/320/1.75% 
Day: 556 (7/30/21) Cases/today/Infection Rate: 35,056,376/191,442/0.55% - Mortality/Today/Rate: 609,304/884/1.74% 
Day: 557 (7/31/21) Cases/today/Infection Rate: 35,100,268/43,892/0.13% - Mortality/Today/Rate: 609,472/168/1.74% 
Day: 558 (8/1/21) Cases/today/Infection Rate: 35,144,835/44,567/0.13% - Mortality/Today/Rate: 609,694/222/1.73% 
Day: 559 (8/2/21) Cases/today/Infection Rate: 35,253,194/108,359/0.31% - Mortality/Today/Rate: 610,040/346/1.73% 
Day: 560 (8/3/21) Cases/today/Infection Rate: 35,350,946/97,752/0.28% - Mortality/Today/Rate: 610,620/580/1.73% 
Day: 561 (8/4/21) Cases/today/Infection Rate: 35,453,391/102,445/0.29% - Mortality/Today/Rate: 611,164/544/1.72% 
Day: 562 (8/5/21) Cases/today/Infection Rate: 35,563,079/109,688/0.31% - Mortality/Today/Rate: 611,680/516/1.72% 
Day: 563 (8/6/21) Cases/today/Infection Rate: 35,814,974/251,895/0.71% - Mortality/Today/Rate: 612,815/1,135/1.71% 
Day: 564 (8/7/21) Cases/today/Infection Rate: 35,877,977/63,003/0.18% - Mortality/Today/Rate: 613,075/260/1.71% 
Day: 565 (8/8/21) Cases/today/Infection Rate: 35,912,853/34,876/0.10% - Mortality/Today/Rate: 613,200/125/1.71% 
Day: 566 (8/9/21) Cases/today/Infection Rate: 36,072,638/159,785/0.44% - Mortality/Today/Rate: 613,723/523/1.70% 
Day: 567 (8/10/21) Cases/today/Infection Rate: 36,190,437/117,799/0.33% - Mortality/Today/Rate: 614,559/836/1.70% 
Day: 568 (8/11/21) Cases/today/Infection Rate: 36,344,890/154,453/0.43% - Mortality/Today/Rate: 615,352/793/1.69% 
Day: 569 (8/12/21) Cases/today/Infection Rate: 36,488,974/144,084/0.40% - Mortality/Today/Rate: 616,380/1,028/1.69% 
Day: 570 (8/13/21) Cases/today/Infection Rate: 36,715,780/226,806/0.62% - Mortality/Today/Rate: 617,434/1,054/1.68% 
Day: 571 (8/14/21) Cases/today/Infection Rate: 36,788,846/73,066/0.20% - Mortality/Today/Rate: 617,700/266/1.68% 
Day: 572 (8/15/21) Cases/today/Infection Rate: 36,835,633/46,787/0.13% - Mortality/Today/Rate: 617,904/204/1.68% 
Day: 573 (8/16/21) Cases/today/Infection Rate: 37,029,988/194,355/0.53% - Mortality/Today/Rate: 618,931/1,027/1.67% 
Day: 574 (8/17/21) Cases/today/Infection Rate: 37,180,578/150,590/0.41% - Mortality/Today/Rate: 619,949/1,018/1.67% 
Day: 575 (8/18/21) Cases/today/Infection Rate: 37,348,175/167,597/0.45% - Mortality/Today/Rate: 621,155/1,206/1.66% 
Day: 576 (8/19/21) Cases/today/Infection Rate: 37,503,395/155,220/0.42% - Mortality/Today/Rate: 622,933/1,778/1.66% 
Day: 577 (8/20/21) Cases/today/Infection Rate: 37,742,468/239,073/0.64% - Mortality/Today/Rate: 624,391/1,458/1.65% 
Day: 578 (8/21/21) Cases/today/Infection Rate: 37,834,664/92,196/0.24% - Mortality/Today/Rate: 624,955/564/1.65% 
Day: 579 (8/22/21) Cases/today/Infection Rate: 37,878,865/44,201/0.12% - Mortality/Today/Rate: 625,166/211/1.65% 
Day: 580 (8/23/21) Cases/today/Infection Rate: 38,087,087/208,222/0.55% - Mortality/Today/Rate: 626,496/1,330/1.64% 
Day: 581 (8/24/21) Cases/today/Infection Rate: 38,241,551/154,464/0.41% - Mortality/Today/Rate: 627,919/1,423/1.64% 
Day: 582 (8/25/21) Cases/today/Infection Rate: 38,420,532/178,981/0.47% - Mortality/Today/Rate: 629,461/1,542/1.64% 
Day: 583 (8/26/21) Cases/today/Infection Rate: 38,604,298/183,766/0.48% - Mortality/Today/Rate: 631,671/2,210/1.64% 
Day: 584 (8/27/21) Cases/today/Infection Rate: 38,842,971/238,673/0.62% - Mortality/Today/Rate: 633,415/1,744/1.63% 
Day: 585 (8/28/21) Cases/today/Infection Rate: 38,921,858/78,887/0.20% - Mortality/Today/Rate: 634,060/645/1.63% 
Day: 586 (8/29/21) Cases/today/Infection Rate: 38,973,867/52,009/0.13% - Mortality/Today/Rate: 634,374/314/1.63% 
Day: 587 (8/30/21) Cases/today/Infection Rate: 39,203,078/229,211/0.59% - Mortality/Today/Rate: 636,085/1,711/1.62% 
Day: 588 (8/31/21) Cases/today/Infection Rate: 39,383,038/179,960/0.46% - Mortality/Today/Rate: 637,525/1,440/1.62% 
Day: 589 (9/1/21) Cases/today/Infection Rate: 39,573,554/190,516/0.48% - Mortality/Today/Rate: 639,565/2,040/1.62% 
Day: 590 (9/2/21) Cases/today/Infection Rate: 39,752,691/179,137/0.45% - Mortality/Today/Rate: 642,574/3,009/1.62% 
Day: 591 (9/3/21) Cases/today/Infection Rate: 39,988,131/235,440/0.59% - Mortality/Today/Rate: 644,510/1,936/1.61% 
Day: 592 (9/4/21) Cases/today/Infection Rate: 40,074,040/85,909/0.21% - Mortality/Today/Rate: 645,153/643/1.61% 
Day: 593 (9/5/21) Cases/today/Infection Rate: 40,137,542/63,502/0.16% - Mortality/Today/Rate: 645,569/416/1.61% 
Day: 594 (9/6/21) Cases/today/Infection Rate: 40,231,272/93,730/0.23% - Mortality/Today/Rate: 646,195/626/1.61% 
Day: 595 (9/7/21) Cases/today/Infection Rate: 40,440,440/209,168/0.52% - Mortality/Today/Rate: 648,271/2,076/1.60% 
Day: 596 (9/8/21) Cases/today/Infection Rate: 40,617,365/176,925/0.44% - Mortality/Today/Rate: 650,584/2,313/1.60% 
Day: 597 (9/9/21) Cases/today/Infection Rate: 40,783,783/166,418/0.41% - Mortality/Today/Rate: 653,813/3,229/1.60% 
Day: 598 (9/10/21) Cases/today/Infection Rate: 41,025,793/242,010/0.59% - Mortality/Today/Rate: 656,277/2,464/1.60% 
Day: 599 (9/11/21) Cases/today/Infection Rate: 41,114,922/89,129/0.22% - Mortality/Today/Rate: 657,112/835/1.60% 
Day: 600 (9/12/21) Cases/today/Infection Rate: 41,163,273/48,351/0.12% - Mortality/Today/Rate: 657,483/371/1.60% 
Day: 601 (9/13/21) Cases/today/Infection Rate: 41,374,049/210,776/0.51% - Mortality/Today/Rate: 659,649/2,166/1.59% 
Day: 602 (9/14/21) Cases/today/Infection Rate: 41,519,450/145,401/0.35% - Mortality/Today/Rate: 661,564/1,915/1.59% 
Day: 603 (9/15/21) Cases/today/Infection Rate: 41,692,700/173,250/0.42% - Mortality/Today/Rate: 664,308/2,744/1.59% 
Day: 604 (9/16/21) Cases/today/Infection Rate: 41,851,476/158,776/0.38% - Mortality/Today/Rate: 667,782/3,474/1.60% 
Day: 605 (9/17/21) Cases/today/Infection Rate: 42,062,335/210,859/0.50% - Mortality/Today/Rate: 670,241/2,459/1.59% 
Day: 606 (9/18/21) Cases/today/Infection Rate: 42,137,305/74,970/0.18% - Mortality/Today/Rate: 671,233/992/1.59% 
Day: 607 (9/19/21) Cases/today/Infection Rate: 42,182,175/44,870/0.11% - Mortality/Today/Rate: 671,625/392/1.59% 
Day: 608 (9/20/21) Cases/today/Infection Rate: 42,353,975/171,800/0.41% - Mortality/Today/Rate: 673,933/2,308/1.59% 
Day: 609 (9/21/21) Cases/today/Infection Rate: 42,475,711/121,736/0.29% - Mortality/Today/Rate: 676,384/2,451/1.59% 
Day: 610 (9/22/21) Cases/today/Infection Rate: 42,607,062/131,351/0.31% - Mortality/Today/Rate: 679,074/2,690/1.59% 
Day: 611 (9/23/21) Cases/today/Infection Rate: 42,736,229/129,167/0.30% - Mortality/Today/Rate: 682,381/3,307/1.60% 
Day: 612 (9/24/21) Cases/today/Infection Rate: 42,910,993/174,764/0.41% - Mortality/Today/Rate: 684,859/2,478/1.60% 
Day: 613 (9/25/21) Cases/today/Infection Rate: 42,971,487/60,494/0.14% - Mortality/Today/Rate: 685,698/839/1.60% 
Day: 614 (9/26/21) Cases/today/Infection Rate: 43,025,801/54,314/0.13% - Mortality/Today/Rate: 686,270/572/1.60% 
Day: 615 (9/27/21) Cases/today/Infection Rate: 43,181,745/155,944/0.36% - Mortality/Today/Rate: 688,536/2,266/1.59% 
Day: 616 (9/28/21) Cases/today/Infection Rate: 43,294,493/112,748/0.26% - Mortality/Today/Rate: 691,050/2,514/1.60% 
Day: 617 (9/29/21) Cases/today/Infection Rate: 43,415,881/121,388/0.28% - Mortality/Today/Rate: 693,677/2,627/1.60% 
Day: 618 (9/30/21) Cases/today/Infection Rate: 43,526,266/110,385/0.25% - Mortality/Today/Rate: 696,491/2,814/1.60% 
Day: 619 (10/1/21) Cases/today/Infection Rate: 43,681,095/154,829/0.36% - Mortality/Today/Rate: 698,644/2,153/1.60% 
Day: 620 (10/2/21) Cases/today/Infection Rate: 43,729,298/48,203/0.11% - Mortality/Today/Rate: 699,480/836/1.60% 
Day: 621 (10/3/21) Cases/today/Infection Rate: 43,774,076/44,778/0.10% - Mortality/Today/Rate: 700,009/529/1.60% 
Day: 622 (10/4/21) Cases/today/Infection Rate: 43,916,984/142,908/0.33% - Mortality/Today/Rate: 701,934/1,925/1.60% 
Day: 623 (10/5/21) Cases/today/Infection Rate: 44,012,217/95,233/0.22% - Mortality/Today/Rate: 703,813/1,879/1.60% 
Day: 624 (10/6/21) Cases/today/Infection Rate: 44,124,392/112,175/0.25% - Mortality/Today/Rate: 706,471/2,658/1.60% 
